Objection_Type,Customer_Quote_Example,Response_Framework,Social_Proof_Hook,Close_CTA,Priority,Category,Tone_Strategy
Need_Spouse_Approval,"I need to ask my spouse","[RESPECT + LOGIC] ""Of course. This affects both of you. What questions would your spouse have? Let's make sure you have answers.""","Couple who did program together or spouse who was skeptical but supportive","Would it help if your spouse could see what's included? Or talk to past clients' spouses?",7,Relationship,Inclusive + Respectful
Already_Trying_Something,"I'm already doing [other program]","[COMPARE HONESTLY] ""How's that working? If it's working great, stick with it. If you're not seeing results, that's the definition of insanity—doing the same thing expecting different outcomes.""","Client who switched from competitor and explains why","What results are you seeing so far? Be honest.",6,Competition,Honest Assessment
Information_Overload,"I need to research more","[GUIDE RESEARCH] ""Smart. What specifically do you want to research? Reviews? Methods? Let me save you time and answer directly.""","Client who over-researched for months, wishes they started sooner","What questions do you have right now? Let's answer them.",5,Decision_Process,Helpful + Direct
Just_Browsing,"Just looking around","[QUALIFY] ""Cool. What brought you here today? Are you dealing with [pain point] or just curious?""","N/A - Discovery phase","What's your biggest challenge right now with [fitness/nutrition]?",3,Early_Stage,Open + Curious
Bad_Timing,"Bad time of year","[DESTROY TIMING MYTH] ""There's never a good time. Summer? Vacations. Fall? Holidays. Winter? It's cold. Spring? Wedding season. The best time is when you decide enough is enough.""","Client who started during holidays/busy season","What makes this a bad time specifically? Let's see if that's real or an excuse.",7,Timing,Reality Check
Money_Back_Question,"What if it doesn't work?","[GUARANTEE] ""We have a [30-day] money-back guarantee. Follow the plan, track your progress, and if you don't see measurable results, full refund. We take the risk, not you.""","Mention someone who was nervous but didn't need refund","Does knowing there's a guarantee change how you feel about trying this?",9,Risk,Risk Reversal
Compare_To_Competitor,"How are you different from [competitor]?","[HONEST COMPARISON] ""[Competitor] is [their approach]. We're [your approach]. They're good at [X], we're better at [Y]. Depends what you value more.""","Client who tried competitor first then came to you","What specifically are you comparing? Let's be direct.",8,Competition,Honest + Clear
DIY_Mentality,"I can do this myself","[VALIDATE + REALITY] ""You probably could. With enough trial and error. Question is: How many months/years are you willing to waste? We compress 5 years of mistakes into a 90-day system.""","Self-taught person who finally hired help and regrets not doing sooner","How long have you been trying on your own? What results have you gotten?",6,Self_Sufficiency,Respectful Truth
Paralysis_Analysis,"What if I choose wrong plan?","[SIMPLIFY] ""We'll help you choose based on [specific criteria]. And if we need to adjust after a week, we do. Nothing's permanent. Stop overthinking.""","Client who was paralyzed by choice, coach helped them decide","Tell me [your goal, budget, time]. I'll tell you which plan fits.",5,Decision_Process,Decisive + Clear
Shame_Embarrassment,"I'm embarrassed about my weight","[EMPATHY + PRIVACY] ""No judgment here. Every single client started exactly where you are. Scared, frustrated, maybe ashamed. That's why you're here. This is the first step out.""","Client who was embarrassed at start, now proud","You're talking to someone who gets it. What specifically worries you?",8,Emotional,Deep Empathy
Depression_Motivation,"I have no motivation","[REVERSE CAUSE] ""Motivation doesn't create action. Action creates motivation. You don't need to feel ready. You need to move and the feeling follows. We'll push you when you can't push yourself.""","Client who was depressed, program helped them out of it","What would it feel like to have energy again? Let's start there.",8,Emotional,Compassionate Push
Hidden_Fear,"What if I fail again?","[REMOVE FAILURE OPTION] ""You can't fail if you show up. Failure is quitting. Slow progress is still progress. And you'll have a coach making sure you don't repeat past mistakes.""","Client with same fear who succeeded","What would need to be different this time for you to succeed?",9,Emotional,Safety + Support
